adm_name,adm2_code,province,trav_value,trav_cat,adm_pop,cat_pop,pc_pop
Lomanthang,524 4 45 4 001,4,7,16 to 32 hours,2118.50200639713,1993.09484863281,0.940803852257098
Mechinagar,524 1 04 3 005,1,3,1 to 2 hours,125664.726447403,28019.0546875,0.222966742375612
Mai,524 1 03 3 004,1,4,2 to 4 hours,36995.3578437902,22726.833984375,0.614315830660083
Chamunda Bindrasaini,524 6 61 3 002,6,4,2 to 4 hours,28661.3925540447,16898.54296875,0.589592530679925
Mahakulung,524 1 11 4 002,1,8,> 32 hours,12756.1202694932,35.2240295410156,0.00276134348037274
Khijidemba,524 1 13 4 001,1,6,8 to 16 hours,16843.111065425,1606.83349609375,0.0954000415868662
Likhu,524 3 21 4 006,3,4,2 to 4 hours,25626.1595476419,11993.154296875,0.4680043560401
Tulsipur,524 5 56 2 001,5,4,2 to 4 hours,155774.116316706,5919.88916015625,0.0380030347796707
Dhorpatan Hunting Reserve,524 4 43 5 998,4,6,8 to 16 hours,2547.65146751213,722.6943359375,0.283670802365771
Annapurna,524 4 39 4 001,4,2,30 minutes to 1 hour,25843.7356252883,8188.80419921875,0.316858379839095
Nechasalyan,524 1 11 4 005,1,3,1 to 2 hours,18088.443148151,4085.74584960938,0.225876036768096
Ramgram,524 5 47 3 003,5,2,30 minutes to 1 hour,63039.4733614028,2192.66284179688,0.0347823787998105
Phedap,524 1 08 4 002,1,2,30 minutes to 1 hour,19729.3887172192,5592.2978515625,0.283450132779923
Roshi,524 3 24 4 004,3,4,2 to 4 hours,31840.0025105942,18717.40234375,0.587858067458447
Binayee Tribeni,524 4 47 4 004,4,3,1 to 2 hours,37203.9528506231,12067.2060546875,0.32435279399311
Simkot,524 6 66 4 002,6,4,2 to 4 hours,12317.9514173843,4779.404296875,0.388003178038992
Mangala,524 4 44 4 005,4,5,4 to 8 hours,17845.8116155937,1630.80578613281,0.0913831111333602
Makawanpurgadhi,524 3 31 4 006,3,2,30 minutes to 1 hour,28516.479284361,9100.767578125,0.319140644515539
Khanikhola,524 3 24 4 006,3,5,4 to 8 hours,15938.986864157,11691.39453125,0.733509264477854
Dudhouli,524 3 20 3 002,3,3,1 to 2 hours,73920.5949856937,35763.82421875,0.483814074084111
Chhathar Jorpati,524 1 07 4 002,1,6,8 to 16 hours,20486.3995512426,,
Dhurkot,524 5 51 4 003,5,3,1 to 2 hours,24687.1391557679,16677.375,0.675549114653227
Budhiganga,524 1 05 4 004,1,1,0 to 30 minutes,46753.3540797457,21961.796875,0.469737354833205
Phikkal,524 3 20 4 007,3,3,1 to 2 hours,18942.3525260761,2047.263671875,0.108078638545911
Melung,524 3 22 4 006,3,4,2 to 4 hours,22703.2341257036,11848.6572265625,0.521892923314744
Sonama,524 2 18 4 001,2,2,30 minutes to 1 hour,44503.4267472327,24834.55078125,0.558036820901534
Mugum Karmarong,524 6 65 4 003,6,8,> 32 hours,5707.12454636682,1428.29870605469,0.250265907892959
Bethanchowk,524 3 24 4 003,3,5,4 to 8 hours,18357.7269632183,1646.095703125,0.0896677299113954
Khandbari,524 1 09 3 001,1,4,2 to 4 hours,33742.6207489222,4432.10888671875,0.131350463845056
Letang,524 1 05 3 001,1,4,2 to 4 hours,36541.5825973824,15642.0400390625,0.428061373570148
Mangala,524 4 44 4 005,4,7,16 to 32 hours,17845.8116155937,,
Machhapuchchhre,524 4 39 4 002,4,2,30 minutes to 1 hour,23974.2630137389,7928.7861328125,0.330720745337146
Sundarbazar,524 4 37 3 003,4,3,1 to 2 hours,29744.6926354021,8493.1796875,0.28553597079001
Lomanthang,524 4 45 4 001,4,8,> 32 hours,2118.50200639713,116.923896789551,0.0551917800580229
Kalaiya,524 2 33 2 002,2,1,0 to 30 minutes,138946.056775004,103197.765625,0.742718203166491
Panchpokhari Thangpal,524 3 23 4 002,3,5,4 to 8 hours,23202.8010552508,2362.0078125,0.101798390930283
Karaiyamai,524 2 33 4 003,2,3,1 to 2 hours,28951.9729353189,9025.525390625,0.311741289990453
Kanepokhari,524 1 05 4 003,1,3,1 to 2 hours,42410.3541740403,39852.9296875,0.939698110606544
Gurans,524 6 61 4 005,6,6,8 to 16 hours,23875.2828434706,6562.66748046875,0.274872868459588
Pancheshwar,524 7 74 4 004,7,5,4 to 8 hours,20423.0915780067,10291.5458984375,0.503917140024005
Bidur,524 3 28 3 001,3,1,0 to 30 minutes,60047.8161335289,35146.6875,0.585311669317731
Kanchan,524 5 48 4 001,5,2,30 minutes to 1 hour,36606.0601756237,31728.109375,0.866744719939241
Mahawai,524 6 64 4 006,6,6,8 to 16 hours,9196.9277687592,5167.646484375,0.561888340792329
Mohanyal,524 7 71 4 003,7,3,1 to 2 hours,24038.0277960505,34.5538787841797,0.00143746729462793
Kapilbastu,524 5 49 3 006,5,1,0 to 30 minutes,85252.3550261185,67567.453125,0.792558200935324
Molung,524 1 13 4 003,1,3,1 to 2 hours,18404.7089411169,5845.7685546875,0.317623526315474
Siddhalek,524 3 30 4 007,3,5,4 to 8 hours,26482.5257577896,1829.41870117188,0.0690802198364243
Lamidanda,524 1 12 4 003,1,4,2 to 4 hours,14953.0227205008,8653.9814453125,0.578744619537544
Panini,524 5 50 4 003,5,3,1 to 2 hours,29258.4642607719,14202.07421875,0.485400535454328
Chaudandigadhi,524 1 14 3 003,1,3,1 to 2 hours,55070.5155973732,31181.96875,0.566218936063263
Temal,524 3 24 4 005,3,6,8 to 16 hours,25155.9957317635,9.66073608398438,0.000384033142118327
Benighat Rorang,524 3 30 4 008,3,8,> 32 hours,34760.5741125494,4.60586547851562,0.000132502572126759
Adanchuli,524 6 66 4 007,6,7,16 to 32 hours,7703.44188905391,3585.72900390625,0.465471026529237
Bhajani,524 7 71 3 004,7,4,2 to 4 hours,56528.6133151799,5947.71728515625,0.105216047879934
Kohalpur,524 5 57 3 001,5,2,30 minutes to 1 hour,79478.3234474845,58526.98828125,0.736389316514985
Chhatreshwori,524 6 53 4 005,6,6,8 to 16 hours,23797.7829613462,4.7059268951416,0.000197746441455713
Bhageshwar,524 7 73 4 001,7,2,30 minutes to 1 hour,15296.3646462765,10.9934177398682,0.000718694800633185
Musikot,524 6 52 3 003,6,5,4 to 8 hours,36042.4884925038,4773.0771484375,0.132429178674226
Narayan,524 6 61 3 004,6,4,2 to 4 hours,29192.784407109,6671.45556640625,0.228530977839223
Ajaymeru,524 7 73 4 002,7,4,2 to 4 hours,18498.7372553051,8091.404296875,0.437403060825384
Sunwal,524 5 47 3 001,5,4,2 to 4 hours,61663.8532037921,433.213592529297,0.00702540580942249
Prasauni,524 2 33 4 002,2,1,0 to 30 minutes,29240.965320617,16839.513671875,0.575887748138121
Hanumannagar Kankalini,524 2 15 3 009,2,3,1 to 2 hours,50614.0774613284,1426.64440917969,0.0281867116963599
Sabaila,524 2 17 3 006,2,2,30 minutes to 1 hour,56513.5249649212,42383.44921875,0.74997001593969
Falgunanda,524 1 02 4 005,1,2,30 minutes to 1 hour,27047.0450184345,3591.82446289062,0.132799145357378
Kanchan,524 5 48 4 001,5,4,2 to 4 hours,36606.0601756237,,
Indrawati,524 3 23 4 005,3,3,1 to 2 hours,31874.3474643752,20705.236328125,0.649589339868573
Rajapur,524 5 58 3 001,5,4,2 to 4 hours,65338.0637586769,1038.81213378906,0.0158990345600976
Pyuthan,524 5 55 3 002,5,4,2 to 4 hours,41808.6622774154,13231.5078125,0.316477664956229
Doramba,524 3 21 4 002,3,6,8 to 16 hours,25375.7788769417,8.95217609405518,0.000352784288414091
Yangwarak,524 1 01 4 007,1,4,2 to 4 hours,15334.3657150716,9733.5576171875,0.634754498363161
Talkot,524 7 67 4 003,7,7,16 to 32 hours,12555.6920184336,507.536865234375,0.0404228508065695
Annapurna,524 4 39 4 001,4,4,2 to 4 hours,25843.7356252883,3108.75756835938,0.120290565320496
Suwarnabati,524 5 54 4 007,5,3,1 to 2 hours,31125.3508004174,7719.83154296875,0.248023920837713
Chaubise,524 1 07 4 004,1,4,2 to 4 hours,21484.7118205726,12751.771484375,0.593527694989354
Putha Uttarganga,524 5 52 4 002,5,5,4 to 8 hours,19482.5356403086,11924.2314453125,0.612047202964778
Rajpur,524 5 56 4 004,5,5,4 to 8 hours,27871.6167170666,3126.27856445312,0.112167105202003
Tilagufa,524 6 64 3 003,6,5,4 to 8 hours,17231.6060848124,11517.8251953125,0.668412749143799
K I Singh,524 7 70 4 005,7,2,30 minutes to 1 hour,22612.9564108364,979.482971191406,0.0433151222421331
Gandaki,524 4 36 4 009,4,6,8 to 16 hours,25430.0979296118,20.3801975250244,0.000801420331979647
Belkotgadhi,524 3 28 3 002,3,3,1 to 2 hours,45508.7432354242,18746.3828125,0.411929257538972
Mangalsen,524 7 69 3 002,7,1,0 to 30 minutes,35147.934607055,1004.60961914062,0.028582322983467
Gandaki,524 4 36 4 009,4,4,2 to 4 hours,25430.0979296118,15980.8984375,0.628424573186217
Dewanganj,524 1 06 4 005,1,3,1 to 2 hours,40139.108012706,1918.49182128906,0.0477960751066457
Chatrakot,524 5 51 4 007,5,4,2 to 4 hours,23783.7127792984,12045.900390625,0.506476869377176
Joshipur,524 7 71 4 004,7,4,2 to 4 hours,39115.400944829,9196.4580078125,0.235110922697272
Dhorpatan,524 4 43 3 001,4,4,2 to 4 hours,26629.9001879531,16151.6953125,0.606524816033923
Aurahi,524 2 18 3 003,2,4,2 to 4 hours,35971.5194145441,28.4702663421631,0.000791466882843206
Namkha,524 6 66 4 001,6,8,> 32 hours,4189.31084410012,930.97705078125,0.222226777965727
Dewanganj,524 1 06 4 005,1,2,30 minutes to 1 hour,40139.108012706,27114.62890625,0.675516478783406
Butwal,524 5 48 2 001,5,4,2 to 4 hours,152984.447511367,1356.85852050781,0.0088692579054939
Marma,524 7 75 4 007,7,7,16 to 32 hours,16020.7516647223,4492.15673828125,0.280396128239911
Khumbupasanglahmu,524 1 11 4 001,1,8,> 32 hours,9888.78338995449,1524.89611816406,0.154204623362782
Myanglung,524 1 08 3 002,1,6,8 to 16 hours,22165.8583285883,,
Kalyanpur,524 2 16 3 006,2,2,30 minutes to 1 hour,54032.7004066557,28334.982421875,0.524404336792776
Kanthekhola,524 4 43 4 005,4,4,2 to 4 hours,28638.3406830654,5326.36083984375,0.185987061847943
Harinas,524 4 41 4 005,4,5,4 to 8 hours,17951.5962224305,1873.888671875,0.104385629481438
Chhatradev,524 5 50 4 002,5,2,30 minutes to 1 hour,28031.0082673728,12478.5048828125,0.445167892777409
Simta,524 6 59 4 004,6,3,1 to 2 hours,28220.925309632,6.32354831695557,0.000224073032601709
Jugal,524 3 23 4 003,3,6,8 to 16 hours,21039.8386648851,2906.978515625,0.138165437574227
Ekdanra,524 2 18 4 003,2,2,30 minutes to 1 hour,32200.1273220181,2289.44775390625,0.071100580783752
Badimalika,524 7 68 3 002,7,5,4 to 8 hours,18262.0687327138,8301.3203125,0.454566261577441
Malarani,524 5 50 4 001,5,4,2 to 4 hours,31103.6976364255,7322.59912109375,0.235425357032736
Pachaljharana,524 6 64 4 003,6,5,4 to 8 hours,13491.9916381575,7955.060546875,0.589613510015587
Chingad,524 6 59 4 003,6,6,8 to 16 hours,18960.6524945125,13090.478515625,0.690402322357502
Dhankuta,524 1 07 3 003,1,4,2 to 4 hours,40740.0936588198,1502.1240234375,0.0368709025565116
Molung,524 1 13 4 003,1,2,30 minutes to 1 hour,18404.7089411169,3365.63403320312,0.182868093376046
Rangeli,524 1 05 3 006,1,2,30 minutes to 1 hour,58828.460672006,30355.560546875,0.51600127217539
Konjyosom,524 3 25 4 002,3,4,2 to 4 hours,10592.7449619919,1778.39038085938,0.167887586007259
Phungling,524 1 01 3 001,1,7,16 to 32 hours,29023.9156046147,,
Bhotekoshi,524 3 23 4 004,3,8,> 32 hours,18267.5240169866,,
Madhuwan,524 5 58 3 002,5,2,30 minutes to 1 hour,51161.5890324339,32994.30859375,0.64490390579607
Mathagadhi,524 5 46 4 004,5,3,1 to 2 hours,27453.4601313621,7274.18701171875,0.264964306025998
Dudhkaushika,524 1 11 4 006,1,5,4 to 8 hours,22115.5269935317,13050.2392578125,0.590093976129503
Marsyangdi,524 4 37 4 002,4,3,1 to 2 hours,20551.960716943,6767.142578125,0.32926992569357
Guthichaur,524 6 63 4 007,6,6,8 to 16 hours,10754.8802878719,3140.60961914062,0.292017161983871
Bhume,524 5 52 4 003,5,5,4 to 8 hours,20738.3046732717,9282.8447265625,0.447618302113507
Nijgadh,524 2 33 3 001,2,5,4 to 8 hours,39348.9232639782,1781.15112304688,0.0452655619341285
Byas,524 7 75 4 001,7,7,16 to 32 hours,11206.7671502374,7030.3251953125,0.627328568628607
Belkotgadhi,524 3 28 3 002,3,4,2 to 4 hours,45508.7432354242,14696.220703125,0.322931807347416
Banglachuli,524 5 56 4 005,5,4,2 to 4 hours,26626.8194289505,14042.3271484375,0.527375309916651
Kohalpur,524 5 57 3 001,5,4,2 to 4 hours,79478.3234474845,950.567565917969,0.0119600857779299
Dangisharan,524 5 56 4 002,5,3,1 to 2 hours,23780.6271807607,19606.244140625,0.824462870200794
Phidim,524 1 02 3 001,1,2,30 minutes to 1 hour,56993.4214813523,9137.375,0.160323327894776
Gaurishankar,524 3 22 4 002,3,5,4 to 8 hours,18925.4517339438,6005.29833984375,0.317313342067969
Shiwalaya,524 6 60 4 004,6,6,8 to 16 hours,16845.0992125273,7774.0654296875,0.461503095446664
Ajirkot,524 4 36 4 002,4,7,16 to 32 hours,17272.8099462269,25.0069694519043,0.00144776498611142
Modi,524 4 42 4 002,4,4,2 to 4 hours,23153.5326819289,2899.37841796875,0.125224019064343
Khaptad National Park,524 7 67 5 997,7,6,8 to 16 hours,410.841481544077,410.841491699219,1.00000002471791
